,DaysSinceLastStay,TotalRevenue,Tenure
1186,304,290.0,0
1187,667,90.0,0
1188,654,382.2,0
1189,954,244.0,0
1190,898,290.4,6
1191,186,317.3,0
1192,322,593.5,0
1193,460,273.3,0
1194,338,2129.5,0
1195,173,191.0,0
1196,159,370.5,0
1197,967,710.9,0
1198,206,302.0,0
1199,542,378.0,0
1200,705,172.0,0
1201,57,1259.8,0
1202,400,396.76,0
1203,260,254.0,0
1204,652,101.2,0
1205,242,565.0,0
1206,673,860.4,0
1207,625,1064.489999999998,0
1208,256,0.0,50
1209,572,451.7,0
1210,219,1474.0,0
1211,66,624.0,0
1212,112,692.5,0
1213,812,243.0,0
1214,322,399.3,0
1215,900,429.2,0
1216,650,409.5,0
1217,853,800.4,0
1218,744,108.0,0
1219,871,619.4,0
1220,536,252.8,0
1221,48,318.0,0
1222,564,884.0,0
1223,569,1214.5,0
1224,437,302.0,0
1225,192,1080.9,4
1226,271,131.0,0
1227,1096,422.6,0
1228,436,212.0,0
1229,519,302.3,0
1230,697,310.59999999999997,0
1231,581,637.0,0
1232,727,688.3,0
1233,75,282.0,0
1234,82,544.0,0
1235,409,242.0,0
1237,1077,145.0,0
1238,779,71.0,0
1239,856,386.0,0
1240,862,532.2,0
1241,108,274.0,0
1242,444,232.0,0
1243,653,346.28,0
1244,579,344.0,0
1245,629,332.0,0
1246,827,209.4,0
1247,673,324.8,0
1248,820,258.0,0
1249,650,684.73,0
1250,661,319.49,0
1251,145,1003.2,0
1252,255,501.6,0
1253,447,120.0,0
1254,323,468.25,0
1255,155,453.0,0
1256,872,381.6,0
1257,80,1164.5,0
1258,544,772.5400000000001,0
1259,216,470.4,0
1260,750,82.0,0
1261,540,608.0,0
1262,107,558.0,0
1263,929,182.0,0
1264,383,972.9,0
1265,921,107.3,0
1266,924,198.2,0
1267,402,178.4,0
1268,1083,240.0,0
1269,658,297.0,0
1270,493,219.0,0
1271,1016,675.5,0
1272,585,162.0,0
1273,573,354.0,0
1274,739,397.65,0
1275,88,413.5,0
1277,78,423.0,0
1278,677,132.0,0
1279,995,339.4,0
1280,68,146.0,0
1281,27,86.0,0
1282,598,759.0,0
1283,545,583.7,0
1284,550,278.88,0
1285,367,432.5,0
1286,427,577.5,0
1287,20,223.5,0
1288,967,534.5,0
1289,1032,206.0,0
1290,145,313.5,0
1291,402,328.2,0
1292,489,101.5,0
1293,907,82.0,0
1294,257,959.6,0
1295,804,521.6,0
1296,722,214.0,0
1297,134,930.5,0
1298,213,734.84,0
1299,478,152.0,0
1300,115,355.0,0
1301,957,158.0,0
1302,936,116.0,0
1303,580,347.4,0
1304,920,142.0,0
1305,441,270.35,0
1306,144,345.0,0
1307,178,316.5,0
1308,416,301.5,0
1309,403,184.0,0
1310,455,415.5,0
1311,520,1026.0,0
1312,923,230.9,0
1313,78,627.0,0
1314,1059,309.0,0
1315,976,600.0,0
1316,846,166.19,0
1317,308,330.0,0
1318,115,355.0,0
1319,442,248.8,0
1320,914,251.4,0
1321,917,376.8,0
1322,980,231.6,0
1323,54,242.0,0
